sourceId,name,category,listUrl,listStatus,itemsFound,detailOkRatio,primaryIssue,suggestedAction,userDecision,userNote
utl-rczp,交通学院人才招聘,招聘,https://utl.sztu.edu.cn/szdw1/rczp.htm,OK,7,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
cop-llxx,药学院理论学习,党建,https://cop.sztu.edu.cn/dqgz/djzj/llxx.htm,OK,4,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
fxcs-sfbz,分析测试中心收费标准,科研学术,https://fxcszx.sztu.edu.cn/sfbz.htm,OK,1,0/1,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
sbc-tzgg,国资实验室部通知,通知公告,https://sbc.sztu.edu.cn/xwgg/tzgg.htm,OK,20,0/1,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
design-shfw,创意设计学院社会服务,合作交流,https://design.sztu.edu.cn/xydt/shfw.htm,OK,18,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
design-xysh,创意设计学院校园生活,学生工作,https://design.sztu.edu.cn/xydt/xysh.htm,OK,99,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
bs-dqgz,商学院党群工作,党建,https://bs.sztu.edu.cn/dqgz.htm,OK,6,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
fxcs-csfw,分析测试中心测试服务,科研学术,https://fxcszx.sztu.edu.cn/csfw.htm,OK,1,0/1,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
cop-ghhd,药学院工会活动,学生工作,https://cop.sztu.edu.cn/dqgz/ghzj/ghhd.htm,OK,8,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
tusports-wangqiu,体艺学院网球校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1041&a1020514p=1&a1020514c=20,OK,2,0/2,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
design-xsxz,创意设计学院学术新秀,科研学术,https://design.sztu.edu.cn/xsyj/xsxz.htm,OK,1,0/1,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
sbc-syglzd,国资实验室管理制度,规章制度,https://sbc.sztu.edu.cn/gzzd.htm,OK,20,0/1,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
bs-zs,商学院招生,招生,https://bs.sztu.edu.cn/xsgz/zs.htm,OK,13,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
cop-gjjl,药学院国际交流,合作交流,https://cop.sztu.edu.cn/hzjl/gjjl.htm,OK,4,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
tusports-yumaoqiu,体艺学院羽毛球校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1051&a1020514p=1&a1020514c=20,OK,6,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
sbc-zcbz,国资实验室政策标准,其他,https://sbc.sztu.edu.cn/gzzd/zcbz.htm,OK,16,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
utl-ztxx,交通学院专题学习,其他,https://utl.sztu.edu.cn/djyl/ztxx.htm,OK,12,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
ai-cpyc,人工智能学院诚聘英才,招聘,https://ai.sztu.edu.cn/cpyc.htm,OK,5,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
bs-jyzd,商学院就业指导,学生工作,https://bs.sztu.edu.cn/xsgz/jyzd.htm,OK,8,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
cop-xqhz,药学院校企合作,合作交流,https://cop.sztu.edu.cn/hzjl/xqhz.htm,OK,4,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
ai-xssxjy,人工智能学院实习就业,科研学术,https://ai.sztu.edu.cn/sxjy/xssxjy.htm,OK,10,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
cop-rydt,药学院荣誉殿堂,学生工作,https://cop.sztu.edu.cn/xsgz/rydt.htm,OK,10,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
